,PLAYER_NAME,TOTAL_MADE_SHOTS,TOTAL_ATTEMPTED_SHOTS,TOTAL_MISSED_SHOTS,In The Paint (Non-RA) - Center,Above the Break 3 - Center,Restricted Area - Center,Above the Break 3 - Left Side Center,Above the Break 3 - Right Side Center,Mid-Range - Center,In The Paint (Non-RA) - Right Side,Right Corner 3 - Right Side,Mid-Range - Right Side,In The Paint (Non-RA) - Left Side,Left Corner 3 - Left Side,Mid-Range - Left Side,Mid-Range - Right Side Center,Mid-Range - Left Side Center,Backcourt - Back Court,Above the Break 3 - Back Court,Dunk,Hook,Fadeaway,Step Back,Cutting,Turnaround,Floater,Jumpshot,Driving,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height
0,Jordan Poole,490,1186,696,169,142,241,223,130,44,18,30,43,21,35,41,20,25,4,0,10,7,38,148,16,17,150,863,320,30.1,6.3,15.2,0.413,2.4,7.2,0.326,3.9,8,0.492,0.491,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4,193
1,Deni Avdija,406,803,397,162,53,349,56,57,12,10,33,15,5,33,5,4,6,3,0,46,9,14,43,42,18,81,375,277,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,0.56,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,206
2,Tyus Jones,326,666,340,180,42,103,87,62,14,15,22,13,30,43,39,10,6,0,0,0,1,5,11,7,1,248,557,257,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12,185
3,Kyle Kuzma,608,1313,705,281,110,335,135,95,35,38,43,46,32,66,54,22,20,1,0,61,78,104,60,29,146,158,786,352,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,206
4,Landry Shamet,118,274,156,31,31,52,33,46,5,2,30,7,0,17,8,8,4,0,0,12,0,5,5,8,5,11,206,41,15.8,2.6,6,0.431,1.2,3.4,0.338,1.4,2.5,0.556,0.527,0.8,1,0.826,0.3,1,1.3,1.2,0.5,0.2,0.7,1.7,7.1,193
5,Daniel Gafford,348,480,132,87,0,378,0,0,5,2,0,1,3,0,3,1,0,0,0,188,41,5,0,99,22,21,39,43,24.5,4.7,6.5,0.725,0,0,,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11,208
6,Bilal Coulibaly,188,432,244,52,13,163,34,42,7,3,54,9,3,42,2,7,1,0,0,58,4,1,4,21,2,21,235,93,27.2,3,6.9,0.435,1,2.9,0.346,2,3.9,0.502,0.509,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4,198
7,Corey Kispert,386,794,408,91,96,192,158,116,6,6,50,6,3,58,6,3,1,2,0,24,4,4,24,39,5,58,560,181,25.8,4.8,9.9,0.486,2.3,6,0.383,2.5,3.9,0.643,0.602,1.4,2,0.726,0.4,2.4,2.8,2,0.5,0.2,1.2,1.8,13.4,201
8,Jared Butler,98,201,103,42,12,62,17,33,2,2,5,5,5,8,2,2,1,3,0,2,4,1,17,6,1,29,115,84,14.2,2.5,5,0.488,0.6,2,0.308,1.9,3.1,0.602,0.547,0.8,0.9,0.861,0.2,1.2,1.5,3.2,0.7,0.2,1.3,1.5,6.3,190
9,Marvin Bagley III,239,408,169,91,9,261,4,3,8,0,5,8,2,2,11,2,2,0,0,77,41,5,0,43,17,32,95,82,21.1,4.8,8.2,0.586,0.2,0.5,0.391,4.6,7.7,0.597,0.597,1.9,2.5,0.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7,208
10,Lauri Markkanen,427,890,463,157,107,206,147,101,14,13,38,12,16,45,19,7,7,1,0,87,20,37,24,42,54,50,584,108,33.1,7.8,16.2,0.48,3.2,8,0.399,4.6,8.2,0.559,0.578,4.5,5,0.899,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2,213
11,Ochai Agbaji,178,433,255,51,13,153,54,44,3,1,49,6,1,50,4,2,1,1,0,37,5,5,11,19,3,13,244,63,21,2.3,5.6,0.411,0.8,2.7,0.294,1.5,2.8,0.523,0.483,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8,196
